Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,8.800E-03,,,,,,,,,,,,
21.2,,,,,,7.200E-02,,,,,,,,,,,,
26.8,,,,,,1.241E-01,,,,,,,,,,,,
40.8,,,,,,1.464E-01,2.720E+01,,,,,,,,,,,
80,,,,,,8.800E-02,7.176E+00,,,,,,,,,,,
132.3,,,2.456E-01,,4.680E-01,4.500E-02,2.813E-01,,,,,,,,,,,
151.4,,,2.375E-01,,4.535E-01,3.900E-02,4.014E-01,,,,,,,,,,,
200,,,1.956E-01,,4.292E-01,2.600E-02,6.783E-01,,,,,,,,,,,
300,,,1.273E-01,,3.404E-01,1.500E-02,6.709E-01,,,,,,,,,,,
600,,,4.800E-02,2.925E+00,1.526E-01,4.800E-03,2.614E-01,,,,,,,,,,,
800,1.115E-01,4.519E-01,3.000E-02,1.588E+00,9.800E-02,3.100E-03,1.445E-01,,,,,,,,,,,
1041,7.800E-02,3.237E-01,1.900E-02,8.280E-01,6.300E-02,1.800E-03,7.700E-02,,,,,,,,,,,
1253.6,5.900E-02,2.442E-01,1.400E-02,5.017E-01,4.500E-02,1.300E-03,4.900E-02,,,,,,,,,,,
1486.6,4.500E-02,1.830E-01,1.000E-02,3.098E-01,3.200E-02,1.000E-03,3.100E-02,,,,,,,,,,,
8047.8,1.900E-03,3.800E-03,3.900E-04,1.000E-03,7.000E-04,5.300E-05,1.600E-04,,,,,,,,,,,
,,,,,,,,5p,,,,,,,,,,
#electrons,2.00E+00,6.00E+00,2.00E+00,1.00E+01,6.00E+00,2.00E+00,1.00E+01,1.00E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
