layer_index,material,thickness_A,roughness_A,delta,beta
0,vacuum,0.0,0.0,0.0,0.0
1,C,7.214814721299761,4.441225250527753,0.0007384860233239613,0.00010576837228166747
2,LNO,9.730052514117967,1.4286424940143385,0.0007937549662894281,0.0002923390475370646
3,LNO,44.81375195833341,0.0,0.0007937549662894281,0.0002923390475370646
4,LNO,160.0,0.0,0.0007937549662894281,0.0002923390475370646
5,STO,13.918813142861055,4.999796385609821,0.0012943223827566147,0.0004431665726682084
6,LNO,19.074746603842136,3.785575965261593,0.0007937549662894281,0.0002923390475370646
7,STO,13.928684979736396,4.949550820247286,0.0012943223827566147,0.0004431665726682084
8,LNO,19.123687723708844,3.7753976616697082,0.0007937549662894281,0.0002923390475370646
9,STO,13.938554688087985,4.8993052548847515,0.0012943223827566147,0.0004431665726682084
10,LNO,19.172618291098118,3.765219358077823,0.0007937549662894281,0.0002923390475370646
11,STO,13.948337316946635,4.849059689522218,0.0012943223827566147,0.0004431665726682084
12,LNO,19.221117148770567,3.7550410544859387,0.0007937549662894281,0.0002923390475370646
13,STO,13.957950157602554,4.798814124159684,0.0012943223827566147,0.0004431665726682084
14,LNO,19.26877425582591,3.744862750894054,0.0007937549662894281,0.0002923390475370646
15,STO,13.967314834937554,4.748568558797149,0.0012943223827566147,0.0004431665726682084
16,LNO,19.315201055797672,3.734684447302169,0.0007937549662894281,0.0002923390475370646
17,STO,13.976359214942967,4.698322993434614,0.0012943223827566147,0.0004431665726682084
18,LNO,19.360039933460936,3.724506143710284,0.0007937549662894281,0.0002923390475370646
19,STO,13.985019051445883,4.64807742807208,0.0012943223827566147,0.0004431665726682084
20,LNO,19.402972378725917,3.7143278401183992,0.0007937549662894281,0.0002923390475370646
21,STO,13.993239310275637,4.597831862709545,0.0012943223827566147,0.0004431665726682084
22,LNO,19.44372555139304,3.704149536526515,0.0007937549662894281,0.0002923390475370646
23,STO,14.000975127500576,4.54758629734701,0.0012943223827566147,0.0004431665726682084
24,LNO,19.482077031756177,3.6939712329346293,0.0007937549662894281,0.0002923390475370646
25,STO,14.008192378607571,4.497340731984476,0.0012943223827566147,0.0004431665726682084
26,LNO,19.517857642395928,3.683792929342745,0.0007937549662894281,0.0002923390475370646
27,STO,14.014867856152096,4.447095166621941,0.0012943223827566147,0.0004431665726682084
28,LNO,19.55095232890662,3.67361462575086,0.0007937549662894281,0.0002923390475370646
29,STO,14.020989073078322,4.396849601259406,0.0012943223827566147,0.0004431665726682084
30,LNO,19.581299184826115,3.663436322158975,0.0007937549662894281,0.0002923390475370646
31,STO,14.02655372635018,4.346604035896872,0.0012943223827566147,0.0004431665726682084
32,LNO,19.608886792505796,3.6532580185670906,0.0007937549662894281,0.0002923390475370646
33,STO,14.031568869742273,4.296358470534337,0.0012943223827566147,0.0004431665726682084
34,LNO,19.633750122096895,3.6430797149752054,0.0007937549662894281,0.0002923390475370646
35,STO,14.036049854921686,4.2461129051718025,0.0012943223827566147,0.0004431665726682084
36,LNO,19.655965281803848,3.632901411383321,0.0007937549662894281,0.0002923390475370646
37,STO,14.040019105958574,4.1958673398092685,0.0012943223827566147,0.0004431665726682084
38,LNO,19.675643442335716,3.622723107791436,0.0007937549662894281,0.0002923390475370646
39,STO,14.0435047941303,4.145621774446734,0.0012943223827566147,0.0004431665726682084
40,LNO,19.692924267047943,3.612544804199551,0.0007937549662894281,0.0002923390475370646
41,STO,14.046539477638902,4.095376209084199,0.0012943223827566147,0.0004431665726682084
42,LNO,19.707969168136508,3.6023665006076664,0.0007937549662894281,0.0002923390475370646
43,STO,14.049158765210622,4.045130643721664,0.0012943223827566147,0.0004431665726682084
44,LNO,19.720954681231163,3.5921881970157816,0.0007937549662894281,0.0002923390475370646
45,STO,14.051400054239965,3.9948850783591303,0.0012943223827566147,0.0004431665726682084
46,LNO,19.732066209554226,3.582009893423897,0.0007937549662894281,0.0002923390475370646
47,STO,14.053301384033192,3.944639512996596,0.0012943223827566147,0.0004431665726682084
48,LNO,19.741492338702386,3.571831589832012,0.0007937549662894281,0.0002923390475370646
49,STO,14.054900433674641,3.894393947634061,0.0012943223827566147,0.0004431665726682084
50,LNO,19.7494198684178,3.5616532862401273,0.0007937549662894281,0.0002923390475370646
51,STO,14.056233682910534,3.844148382271526,0.0012943223827566147,0.0004431665726682084
52,LNO,19.75602965254308,3.5514749826482426,0.0007937549662894281,0.0002923390475370646
53,STO,14.057335743937603,3.793902816908992,0.0012943223827566147,0.0004431665726682084
54,LNO,19.76149328626266,3.541296679056358,0.0007937549662894281,0.0002923390475370646
55,STO,14.058238862666492,3.7436572515464572,0.0012943223827566147,0.0004431665726682084
56,LNO,19.765970633540835,3.531118375464473,0.0007937549662894281,0.0002923390475370646
57,STO,14.058972580299045,3.693411686183923,0.0012943223827566147,0.0004431665726682084
58,LNO,19.769608149340232,3.5209400718725883,0.0007937549662894281,0.0002923390475370646
59,STO,14.059563540135512,3.643166120821388,0.0012943223827566147,0.0004431665726682084
60,LNO,19.772537921839323,3.5107617682807035,0.0007937549662894281,0.0002923390475370646
61,STO,14.060035420468854,3.5929205554588535,0.0012943223827566147,0.0004431665726682084
62,LNO,19.77487733974588,3.5005834646888188,0.0007937549662894281,0.0002923390475370646
63,STO,14.060408972146039,3.542674990096319,0.0012943223827566147,0.0004431665726682084
64,LNO,19.776729278512743,3.490405161096934,0.0007937549662894281,0.0002923390475370646
65,STO,14.060702138688221,3.492429424733784,0.0012943223827566147,0.0004431665726682084
66,LNO,19.778182695851687,3.4802268575050492,0.0007937549662894281,0.0002923390475370646
67,STO,14.060930237497919,3.4421838593712497,0.0012943223827566147,0.0004431665726682084
68,LNO,19.779313530095394,3.4700485539131645,0.0007937549662894281,0.0002923390475370646
69,STO,14.06110618233726,3.3919382940087157,0.0012943223827566147,0.0004431665726682084
70,LNO,19.78018580316685,3.4598702503212797,0.0007937549662894281,0.0002923390475370646
71,STO,14.061240729624593,3.341692728646181,0.0012943223827566147,0.0004431665726682084
72,LNO,19.780852841631948,3.449691946729395,0.0007937549662894281,0.0002923390475370646
73,STO,14.061342733872445,3.291447163283646,0.0012943223827566147,0.0004431665726682084
74,LNO,19.781358543071715,3.4395136431375097,0.0007937549662894281,0.0002923390475370646
75,STO,14.061419400518995,3.241201597921111,0.0012943223827566147,0.0004431665726682084
76,LNO,19.781738629532423,3.429335339545625,0.0007937549662894281,0.0002923390475370646
77,STO,14.061476527276458,3.190956032558577,0.0012943223827566147,0.0004431665726682084
78,LNO,19.78202184404659,3.41915703595374,0.0007937549662894281,0.0002923390475370646
79,STO,14.061518727774578,3.1407104671960426,0.0012943223827566147,0.0004431665726682084
80,LNO,19.782231059379356,3.4089787323618554,0.0007937549662894281,0.0002923390475370646
81,STO,14.06154963360919,3.0904649018335077,0.0012943223827566147,0.0004431665726682084
82,LNO,19.782384279714684,3.3988004287699707,0.0007937549662894281,0.0002923390475370646
83,STO,14.061572072855736,3.0402193364709733,0.0012943223827566147,0.0004431665726682084
84,LNO,19.78249552566301,3.388622125178086,0.0007937549662894281,0.0002923390475370646
85,STO,0.0,3.057339816575821,0.0012943223827566147,0.0004431665726682084
