parameter,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
carbon_thickness,3.178188057281342,-1.158221744664898,-4.689456964173731,-46.93237758539342,0.8208871736207354,-0.44545160092802943,0.4767376516243865,0.9022143557309287,-1.071814637683576,0.7347674387149565,-1.0411076413112017,-9.644491375054802,3.329864595449887,11.173788803252798,-4.381380116835383,1.555140363700363,0.07029576240870046,0.06669695581763378
carbon_roughness_fraction,-1.1582217445117802,6.902001984872308,-0.04470326885130933,54.08836275711225,-0.44304637364859484,-0.02280000958655113,0.45594032634896664,-0.4051649338255024,0.4892337448784955,0.4439517016257181,2.267234909696126,-29.55108105580248,-22.98547346310613,27.659462860420764,23.68573876124646,-3.527761882232023,-0.16377284548944912,-0.17270071808296147
top_lno_total_thickness,-4.68945696419654,-0.04470326862596971,9.796015119157342,61.614562083616484,-1.2168423653302223,0.8992431340278016,-1.4128599160196038,-1.334708123004665,1.487650900772956,-2.3903690073098085,3.0168688044510397,52.33371322255464,4.556467213315676,-54.71634453116195,-2.4487180618648683,-0.037048172507046104,0.06268860693872266,0.06928758704822012
top_lno_layer1_thickness,-46.93237758235886,54.08836275838887,61.61456207895592,1429.1468192055138,-14.664708905986094,5.202174345985777,-2.4329292388533905,-13.521782314654615,17.509198623433544,-13.326543888142586,18.774456594774943,-177.99117448708154,-462.7253643866412,146.36914784944744,468.6820827692632,-201.8988361070424,-2.9300414522815204,-2.862706237260662
cap_roughness_fraction,0.8208871736128694,-0.44304637368721494,-1.2168423653129596,-14.66470890669013,0.3399583303449716,-0.11770969392198356,0.14281826043872053,0.231596280546793,-0.27381670271707875,0.1809340167736264,-0.2581968205292601,-3.063480286021934,-1.157716253293833,3.4030603872413465,0.754367321901912,-0.35696867744203564,0.008885737986599982,0.007477174365124644
sto_thickness_start,-0.4454516009370391,-0.02280000955997502,0.8992431340371936,5.2021743465895876,-0.11770969392563033,0.09339943234319603,-0.15140908246678197,-0.12712439196541042,0.12436444720544705,-0.15292215968277367,0.16128930132685249,6.546032789909697,6.766035021831945,-6.699619777437029,-6.648611724381684,3.2422625148777113,0.022664969541496785,0.02339961035844426
lno_thickness_start,0.47673765165605647,0.45594032630765247,-1.412859916060402,-2.4329292399613185,0.1428182604489099,-0.15140908246981796,0.4205355431856219,0.12922251038584348,-0.09072480526529915,0.2496478581617192,-0.06210108479157865,-18.41478456370509,-12.223225723197581,18.390562369358275,12.024674072838563,-3.602551172816492,-0.10332875274708483,-0.10489836379024954
sto_thickness_delta,0.902214355729987,-0.4051649338685463,-1.334708122996847,-13.521782315498301,0.23159628054876363,-0.12712439196271574,0.12922251037670035,0.26093041212909157,-0.3025188125873125,0.20731894544811086,-0.39002124962722456,-2.704106981124512,1.7714190749311687,3.17979187412616,-2.0979142181953447,0.9719613436236432,0.021000771837905788,0.019930030253627856
lno_thickness_delta,-1.0718146376697824,0.4892337449209315,1.4876509007461767,17.50919862415608,-0.2738167027157529,0.12436444720054594,-0.09072480525269942,-0.30251881258370183,0.3961896181639603,-0.31000515487639524,0.4556735144581496,-1.583125496408862,-11.780719464936313,0.9515663492492207,12.236319940470008,-5.792982515936515,-0.06203910181604346,-0.0611938977465668
thickness_transition_repeat,0.7347674386748047,0.4439517016249218,-2.390369007250016,-13.326543887812267,0.18093401676339377,-0.15292215967566866,0.24964785815011573,0.20731894543686533,-0.3100051548654294,1.2105554004625232,-1.2163721455475962,-6.049169870581623,32.826338410879465,6.853372355521154,-33.54949203700227,17.71957451360028,0.06297985342328127,0.06320957621589343
thickness_transition_width,-1.0411076412540567,2.2672349096962274,3.016868804365526,18.774456594207642,-0.25819682051456,0.16128930131694483,-0.062101084776393776,-0.39002124961119994,0.4556735144420731,-1.2163721455454257,9.55923646318517,6.689398226411321,-70.06568097017187,-9.384966899433904,73.61111366985955,-30.43194540477799,-0.12222607242504277,-0.11424550984167332
sto_roughness_first,-9.644491377201799,-29.55108105409339,52.33371322548093,-177.9911744345467,-3.0634802866548685,6.546032790181804,-18.41478456393967,-2.7041069817378354,-1.5831254956574372,-6.0491698710625785,6.6893982270272705,1023.5433245053326,1303.0972447075085,-1017.143743722484,-1299.3339209373423,602.6848592166199,6.418767156104801,6.531264067116023
sto_roughness_last,3.329864591247049,-22.985473460169402,4.556467219129353,-462.7253642929837,-1.1577162545120463,6.766035022394689,-12.223225723763656,1.7714190737331463,-11.780719463510556,32.826338410064565,-70.06568096913117,1303.0972447146116,5535.996046765287,-1282.4025930589353,-5572.093435669384,3070.7309612044787,12.045146622468888,12.113773494231397
lno_roughness_first,11.173788805337393,27.65946285867767,-54.716344533990856,146.36914779678432,3.403060387860153,-6.699619777696273,18.390562369568748,3.179791874722175,0.951566348512036,6.85337235601035,-9.384966900063494,-1017.1437437213058,-1282.4025930497048,1013.978379540473,1276.0581904499647,-594.1650915913311,-6.281260328736734,-6.396331062342971
lno_roughness_last,-4.381380112645582,23.685738758343835,-2.4487180676649145,468.6820826763833,0.7543673231150725,-6.648611724944202,12.024674073407956,-2.097914217001177,12.236319939050922,-33.54949203619602,73.61111366883007,-1299.333920944776,-5572.093435670081,1276.05819045951,5614.049396144562,-3095.2643714221904,-12.107724397827615,-12.172887979649818
substrate_roughness,1.555140361728621,-3.52776188081095,-0.03704816978320854,-201.8988360625971,-0.3569686780152636,3.2422625151401916,-3.602551173077631,0.971961343061253,-5.792982515265431,17.719574513212127,-30.431945404273446,602.6848592196161,3070.7309612037343,-594.1650915953401,-3095.264371421116,1968.7898128836655,5.677125676582817,5.732190596543991
reflectivity_angle_offset,0.07029576239246885,-0.16377284548193033,0.06268860696169389,-2.9300414519889846,0.008885737982080375,0.022664969543874543,-0.10332875274999276,0.021000771833304697,-0.06203910181084774,0.06297985342102731,-0.12222607242249342,6.418767156180846,12.045146622563406,-6.28126032881949,-12.107724397919224,5.677125676629502,0.05348224171470578,0.05381124176574518
rc_angle_offset,0.06669695580127974,-0.17270071807508997,0.0692875870713315,-2.862706236960109,0.007477174360556134,0.023399610360823313,-0.10489836379311904,0.019930030248989834,-0.06119389774130542,0.06320957621353956,-0.11424550983897046,6.531264067188596,12.113773494318416,-6.396331062422428,-12.172887979733922,5.732190596587179,0.05381124176571386,0.05436416233980695
