parameter,value,lower_bound,upper_bound,normalized_position,distance_to_nearest_bound_fraction,near_lower_bound_1pct,near_upper_bound_1pct
carbon_thickness,2.640561206701323,2.0,15.0,0.04927393897702485,0.04927393897702485,False,False
carbon_roughness_fraction,0.8638208559628053,0.0,1.0,0.8638208559628053,0.13617914403719467,False,False
top_lno_total_thickness,48.53073373171467,45.0,65.0,0.17653668658573346,0.17653668658573346,False,False
top_lno_layer1_thickness,1.5510385828140256,1.0,20.0,0.0290020306744224,0.0290020306744224,False,False
lno2_roughness_fraction,0.0011340039901970157,0.0,1.0,0.0011340039901970157,0.0011340039901970157,True,False
sto_thickness_start,13.700335318060766,13.0,18.5,0.12733369419286655,0.12733369419286655,False,False
lno_thickness_start,18.397478395214012,13.0,18.5,0.9813597082207295,0.018640291779270513,False,False
sto_thickness_delta,0.0002898373079930785,0.0,3.0,9.661243599769284e-05,9.661243599769284e-05,True,False
lno_thickness_delta,0.0002876850165692729,0.0,3.0,9.589500552309097e-05,9.589500552309097e-05,True,False
thickness_transition_repeat,18.44719901153789,0.0,39.0,0.4730051028599459,0.4730051028599459,False,False
thickness_transition_width,11.739523595946588,1.0,20.0,0.5652380839971889,0.4347619160028111,False,False
sto_roughness_first,4.999706038988492,2.0,5.0,0.9999020129961641,9.798700383589765e-05,False,True
sto_roughness_last,2.6237145527010606,2.0,5.0,0.20790485090035352,0.20790485090035352,False,False
lno_roughness_first,4.999705697198561,2.0,5.0,0.9999018990661869,9.810093381312779e-05,False,True
lno_roughness_last,2.709229546894364,2.0,5.0,0.23640984896478803,0.23640984896478803,False,False
substrate_roughness,3.963578042387084,1.0,5.0,0.740894510596771,0.259105489403229,False,False
reflectivity_angle_offset,0.29943605841551263,-0.3,0.3,0.9990600973591878,0.0009399026408122291,False,True
rc_angle_offset,0.2974345512593783,-0.3,0.3,0.9957242520989639,0.004275747901036131,False,True
