parameter,value,standard_error,lower_bound,upper_bound,at_lower_bound,at_upper_bound
carbon_thickness,2.640561206701323,2.205199344888921,2.0,15.0,False,False
carbon_roughness_fraction,0.8638208559628053,12.54549385910414,0.0,1.0,False,False
top_lno_total_thickness,48.53073373171467,6.2479022418688475,45.0,65.0,False,False
top_lno_layer1_thickness,1.5510385828140256,2.0126041888579307,1.0,20.0,False,False
lno2_roughness_fraction,0.0011340039901970157,4.57112115645439e-11,0.0,1.0,False,False
sto_thickness_start,13.700335318060766,4.277927858186724,13.0,18.5,False,False
lno_thickness_start,18.397478395214012,3.909035372605341,13.0,18.5,False,False
sto_thickness_delta,0.0002898373079930785,1.5001084593309237,0.0,3.0,False,False
lno_thickness_delta,0.0002876850165692729,1.45901588743526,0.0,3.0,False,False
thickness_transition_repeat,18.44719901153789,18.7158745697137,0.0,39.0,False,False
thickness_transition_width,11.739523595946588,9.63578617952037,1.0,20.0,False,False
sto_roughness_first,4.999706038988492,28.754328631213458,2.0,5.0,False,False
sto_roughness_last,2.6237145527010606,45.86355913642231,2.0,5.0,False,False
lno_roughness_first,4.999705697198561,31.661640119979847,2.0,5.0,False,False
lno_roughness_last,2.709229546894364,49.54237839755357,2.0,5.0,False,False
substrate_roughness,3.963578042387084,41.12445096713761,1.0,5.0,False,False
reflectivity_angle_offset,0.29943605841551263,0.26965716976685167,-0.3,0.3,False,False
rc_angle_offset,0.2974345512593783,0.2639267401387683,-0.3,0.3,False,False
